"","PORO","PERMX"
"1",0.087,49.29276
"2",0.087,162.25308
"3",0.087,438.45926
"4",0.087,492.32336
"5",0.087,791.32867
"6",0.087,704.17102
"7",0.087,752.34912
"8",0.087,622.96875
"9",0.087,542.24493
"10",0.087,471.45953
"11",0.087,246.1265
"12",0.087,82.07828
"13",0.087,82.87408
"14",0.087,101.65224
"15",0.087,57.53632
"16",0.087,47.73741
"17",0.087,55.07134
"18",0.087,24.33975
"19",0.087,41.06571
"20",0.087,76.6468
"21",0.087,158.22012
"22",0.087,84.31137
"23",0.087,98.32045
"24",0.087,67.18009
"25",0.087,59.36459
"26",0.087,32.75453
"27",0.087,48.89822
"28",0.087,78.5629
"29",0.087,152.85838
"30",0.087,48.6145
"31",0.087,45.90883
"32",0.087,49.59706
"33",0.087,87.95659
"34",0.087,63.36467
"35",0.087,36.76624
"36",0.087,22.82411
"37",0.087,12.88787
"38",0.087,7.30505
"39",0.087,7.74248
"40",0.087,11.78211
"41",0.087,23.77054
"42",0.087,123.28667
"43",0.087,618.79059
"44",0.087,535.32922
"45",0.087,264.58759
"46",0.087,387.70538
"47",0.087,682.85431
"48",0.087,823.64056
"49",0.087,390.34323
"50",0.087,143.02039
"51",0.087,110.37493
"52",0.087,66.40274
"53",0.087,26.82064
"54",0.087,41.63234
"55",0.087,45.19296
"56",0.087,44.0708
"57",0.087,37.41025
"58",0.087,25.15281
"59",0.087,42.34485
"60",0.087,93.56773
"61",0.087,142.41193
"62",0.087,71.54111
"63",0.087,66.90506
"64",0.087,100.64468
"65",0.087,101.8214
"66",0.087,50.54851
"67",0.087,68.30826
"68",0.087,103.03153
"69",0.087,120.99303
"70",0.087,71.92981
"71",0.087,59.36126
"72",0.087,38.84483
"73",0.087,82.61102
"74",0.087,86.39167
"75",0.087,126.21329
"76",0.087,36.4151
"77",0.087,18.88533
"78",0.087,12.3076
"79",0.087,10.19921
"80",0.087,12.95491
"81",0.087,14.53931
"82",0.087,111.54144
"83",0.087,302.40686
"84",0.087,343.12231
"85",0.087,271.43484
"86",0.087,319.10641
"87",0.087,428.27557
"88",0.087,438.34317
"89",0.087,161.91951
"90",0.087,40.33082
"91",0.087,51.97308
"92",0.087,35.82761
"93",0.087,18.24838
"94",0.087,30.81277
"95",0.087,49.74974
"96",0.087,42.04483
"97",0.087,39.99637
"98",0.087,55.71049
